business_id,labels
0f4hh,2 3 4 5 6 7
0fbnt,1 2 3 4 5 6 7 8
0fenh,0  2   5 6  8
0fo37,1  3  5 6
0frr7,1 2 3 4 5 6 7 8
0ftqi,0   3  5
0ftr0,1 2  4 5 6 7
0g47h,0        8
0gbv7,1 2   5 6
0ghm5,0  2 3     8
0gjgs,2    6  8
0gnbb,0 1     6  8
0gtmi,1 2 3 4 5 6 7
0gxlt,1 2  4 5 6 7
0h0hd,1 2  4 5 6 7 8
0h1a4,0     5 6  8
0h4wo,5 6 7
0h5qu,1 2   5 6  8
0h8d4,0  2 3  5 6  8
0h8d5,0        8
0hbpj,0 1 2 3 4 5 6 7 8
0hfot,1       8
0hlhs,2   5 6  8
0hqkx,0  2 3 4 5 6  8
0hr59,1 2 3  5 6 7
0hv5j,0        8
0hx8q,3     8
0hy2b,1 2 3 4 5 6 7
0hyg2,8
0i4yt,2 3     8
0i5sb,0 1 2   5 6 7 8
0ib7h,0   3  5 6  8
0iiax,1 2 3 4 5 6
0iimp,1  3  5   8
0il9j,0   3  5   8
0imrj,0     5   8
0imwn,2  4 5 6 7 8
0iuhw,0   3     8
0j2q7,0     5   8
0j8vu,5 6  8
0j8zu,0  2 3   6  8
0jbjh,0   3     8
0jc5r,0 1 2   5   8
0jc65,3   6  8
0jfku,6  8
0jiz6,1 2 3  5 6 7
0jty2,0   3     8
0jvh7,0   3     8
0k4ul,0
0ke39,0        8
0l70b,1  3  5 6
0la7t,1 2  4 5 6 7
0laj4,2 3  5 6  8
0llgh,0 1 2   5 6  8
0lmxz,0     5   8
0lyuo,0 1 2   5 6  8
0lz84,1 2 3 4 5 6 7
0m08q,8
0m3wj,1 2  4 5 6 7 8
0m7ri,0 1 2   5 6  8
0maca,8
0mmu4,3   6  8
0mreo,0        8
0n1ay,1 2  4 5 6 7
0n2m1,0   3     8
0n4nu,6  8
0n8do,0 1  3     8
0n8et,0 1       8
0n8t4,1 2  4 5 6 7
0nn94,3     8
0nq6o,0 1       8
0nq8g,1 2 3 4 5 6 7 8
0nr91,1 2  4 5 6 7
0nrue,0 1    5 6  8
0nyh7,3     8
0o9fn,0   3     8
0ob7h,0 1       8
0oi66,0  2      8
0okpg,3     8
0omun,1      7
0oq6q,1 2 3 4 5 6 7
0ov4f,2 3  5 6
0ox18,8
0p81n,1 2   5 6  8
0pac2,1  3 4 5 6
0pdq3,2 3  5 6  8
0phk2,0      6 7 8
0pmkh,0  2 3   6  8
0poig,1 2 3 4 5 6 7
0prxg,3  5 6  8
0pthg,1 2  4 5 6 7
0pwam,0   3     8
0q08m,3  5 6
0q2ua,1 2 3 4 5 6
0q3on,0   3     8
0q6bl,1 2 3 4 5 6 7
0qevl,1 2  4 5 6 7
0qj4g,1 2   5 6 7
0qy5h,0 1       8
0qz6n,1 2 3 4 5 6  8
0rc3e,1 2   5 6
0re2p,0        8
0rgkv,0  2    6 7 8
0rorx,6  8
0rq2p,0   3     8
0rqis,1 2 3  5 6 7
0ruub,0  2   5 6  8
0rzi7,0        8
0s3z5,
0s7wm,1 2 3  5 6 7
0s8h6,2 3  5 6  8
0s9nf,1 2 3  5 6 7
0scv4,8
0shj8,3     8
0stwm,3     8
0svix,1 2  4 5 6 7 8
0swcw,1 2   5 6
0swrj,0 1  3  5 6  8
0t34n,8
0t3cj,0 1 2 3  5 6 7 8
0t3ix,1 2  4 5 6
0t6ke,0   3     8
0tabm,3  5 6
0tc9p,0   3     8
0tqv0,0 1       8
0trt0,6  8
0tudg,1 2 3 4 5 6 7
0u1l6,1 2 3 4 5 6 7
0u8hj,1 2 3 4 5 6
0ugkn,0 1  3  5   8
0uhqx,1 2 3 4 5 6 7
0ulsw,3   6  8
0unkr,1 2  4 5 6 7
0uv14,1 2 3 4 5 6 7
0v1p7,1 2 3 4 5 6 7
0v6gl,1 2 3 4 5 6
0v8j8,1 2   5 6 7
0vd8s,2  4 5 6 7
0vre2,3     8
0vtru,2 3 4 5 6 7
0w01d,0  2   5 6  8
0w67f,1 2 3  5 6 7
0w6cx,1   4 5 6 7
0wkxz,1 2 3  5 6 7
0wn4d,1 2  4 5 6
0wof6,0    4 5   8
0wuwu,0   3     8
0wxz7,1 2   5 6  8
0wyma,3  5
0x908,3     8
0x9my,1 2 3 4 5 6 7
0xbc6,1 2   5 6 7
0xg8y,2 3  5 6  8
0xn17,6  8
0xnm9,1 2  4 5 6 7
0xo8z,1 2  4 5 6
0xveu,0
0y2o3,1 2  4 5 6 7 8
0ycld,0 1  3  5 6  8
0yhrn,1 2 3 4 5 6 7
0yqq9,3   6  8
0z01d,0        8
0z57b,0 1 2   5 6  8
0z5ry,1 2 3 4 5 6
0z6vo,0  2   5 6  8
0zb7e,3  5   8
0zg3y,5 6  8
0zrov,2  4 5 6 7 8
0zzlg,3     8
102f2,0   3     8
103ir,1 2 3  5 6 7
10drp,0 1  3     8
10p5u,1 2  4 5 6 7
10wjv,0        8
10xh1,1 2 3 4 5 6 7
10z4d,0        8
1105p,8
113vs,0   3  5   8
118bv,1   4 5 6  8
118ux,0 1 2   5 6  8
11aib,0 1    5 6  8
11gpr,1 2 3 4 5 6 7
11ioq,6  8
11m2v,3     8
11oi1,1 2 3 4 5 6 7
11sk5,2 3  5 6
11uii,1 2 3 4 5 6 7
122v6,1 2   5 6  8
123w4,1 2   5 6 7
1263s,1 2 3 4 5 6 7
12mex,1 2 3 4 5 6
12p62,1 2 3   6 7
12q8i,0   3  5   8
131go,1 2   5 6  8
13frb,1  3  5 6  8
13fw1,0   3  5   8
13jt0,1 2 3  5 6 7 8
13kjn,8
13nuw,1 2  4 5 6 7
13qgp,0        8
13wxb,1 2 3  5 6 7 8
144vd,0     5   8
149zx,8
14ipn,1 2 3  5 6 7
14m5f,1 2 3 4 5 6
14zfw,1 2  4 5 6 7
152yz,5
155ip,0   3  5 6  8
1584k,1 2 3 4 5 6 7
15918,8
15a44,1 2  4 5 6 7 8
15dh9,6  8
15k7r,3     8
15ofc,3     8
15qyl,0   3     8
15tqa,1 2 3 4 5 6 7
16145,1 2  4 5 6 7
16153,0   3     8
163jv,1 2  4 5 6 7
164ok,6  8
169vn,1 2  4 5 6 7 8
16chm,1 2   5 6
16l5s,3     8
16m1r,1 2 3 4 5 6 7 8
16o2x,1 2  4 5 6 7
1757b,3  5 6  8
175ez,0      6  8
17ctg,3  5
17lt8,7
17pb7,0      6  8
17qtl,3     8
17r96,0   3  5   8
17w4d,8
17wka,6  8
17ymz,1 2 3 4 5 6 7
182ao,0   3  5   8
188mq,1 2 3 4 5 6
18b3y,1 2 3  5 6 7
18cak,0   3     8
18iem,5 6  8
18ljz,0 1    5 6  8
18r62,1 2 3  5 6
18uq1,1 2 3 4 5 6 7
19bod,0   3  5   8
19c32,1       8
19f70,0        8
19ga6,0        8
19pgl,1 2  4 5 6 7
19sm5,3     8
1a01j,0  2 3  5 6
1a6qc,0   3     8
1a9dn,0        8
1a9jq,8
1aeys,3   6  8
1aizo,0  2    6  8
1andp,1 2 3  5 6
1anvj,1 2 3  5 6
1aq6n,6  8
1aywh,6  8
1b0u4,0   3   6  8
1bb6q,2   5 6  8
1bdpm,1 2   5 6 7 8
1bg2i,2 3 4 5 6  8
1biy5,0   3     8
1bmle,0   3     8
1bzhj,1 2   5 6  8
1c3sl,0 1       8
1c4ak,1 2   5 6  8
1c5p2,1 2   5 6  8
1ca1k,2  4 5 6 7
1cajm,0      6  8
1ceoc,0  2    6  8
1cnr4,0        8
1cp6q,1 2 3 4 5 6
1cqlh,1 2  4 5 6
1d1vg,0        8
1d3im,0  2 3  5 6  8
1db08,1 2 3 4 5 6
1dcev,0 1  3  5
1dfyw,1 2 3 4 5 6 7
1di7s,0 1       8
1dk14,0 1    5 6  8
1dm5g,0   3     8
1do0d,0 1       8
1dsri,1 2  4 5 6 7
1e2pk,6  8
1e34p,6  8
1ec43,1 2   5 6  8
1ekse,0   3  5   8
1eogb,3   6  8
1eqn4,3   6  8
1f3xl,1 2 3 4 5 6 7 8
1f4sk,0  2 3 4 5 6 7 8
1f5ex,8
1f8kz,1 2   5 6  8
1f99i,0 1 2 3  5 6  8
1f9nm,0  2   5 6  8
1fbqh,1 2 3  5 6
1fg2d,0        8
1fi4u,3  5 6
1fjj2,0        8
1fkf8,1 2 3  5 6
1fpvt,1 2 3  5 6
1gg00,1 2  4 5 6
1gnvj,1 2  4 5 6 7
1gozl,0  2 3  5 6
1gqze,0        8
1h4vx,0   3     8
1h9m0,3     8
1hgih,0        8
1hig5,0   3     8
1hu0r,0
1hv8u,1 2  4 5 6
1i4bi,3     8
1iaz6,0        8
1icrn,0     5 6  8
1id5n,0 1  3  5 6  8
1ifxf,0     5 6 7
1iktw,0   3  5   8
1iuux,2  4 5 6 7 8
1iz4c,0   3     8
1j2g2,0   3
1jetm,1 2 3  5 6 7 8
1jfje,3     8
1jhd4,0        8
1jik6,1 2 3  5 6 7
1jlh9,8
1jlrm,1 2  4 5 6 7
1jmp4,1 2 3 4 5 6 7
1jrct,1 2  4 5 6 7 8
1jvo5,0   3  5   8
1jvqu,0   3     8
1k3v3,3
1k8ru,1 2 3  5 6 7
1k9gq,0 1  3  5   8
1kr59,1 2 3  5 6  8
1kw5i,1  3  5 6  8
1kw6g,0   3  5 6
1kwj3,3     8
1kxqu,0   3     8
1l72d,3  5 6  8
1la8k,0 1 2    6  8
1lbe9,1 2   5 6 7
1lcof,1 2 3 4 5 6
1lhhv,3     8
1lneo,0  2 3   6  8
1lnzk,2    6  8
1ltns,0   3     8
1lvgn,1 2 3  5 6 7
1ly64,0  2   5 6 7 8
1lyyo,8
1mb6s,0   3     8
1me67,1 2   5 6  8
1moxe,1 2  4 5 6 7
1mqg0,2 3 4 5 6
1mu0b,2 3  5 6
1mwwj,1 2 3 4 5 6 7
1n9ss,0   3     8
1n9zg,0        8
1nbbh,0     5   8
1nd86,0   3     8
1nlp7,0        8
1nnvp,2 3  5 6
1npai,0 1  3  5
1nr5r,1    5 6 7
1nsa9,1 2 3  5 6 7
1oci4,1 2 3 4 5 6
1odko,1 2 3  5 6 7 8
1oevl,6  8
1olou,0   3  5 6  8
1ooqj,0     5
1osph,3     8
1ovby,1 2  4 5 6
1oveb,1 2  4 5 6 7
1p4rg,0 1 2   5 6  8
1pdge,0 1       8
1phyf,1 2 3  5 6 7
1pj73,3  5 6  8
1pj8b,1 2 3 4 5 6 7
1pk3p,0   3     8
1pkme,1  3  5 6 7
1ppq2,1 2 3  5 6
1pqox,0   3     8
1ps9h,3   6  8
1q0ls,1 2  4 5 6 7
1q4qk,0 1  3  5
1q6je,0   3  5 6  8
1qoat,1 2 3  5 6  8
1qrdw,3   6  8
1qyq7,3     8
1r8xp,1 2 3 4 5 6  8
1rdjf,1 2  4 5 6 7 8
1red8,1 2 3 4 5 6 7
1rhp2,1 2 3  5 6 7
1rju5,3   6  8
1rsa5,8
1ruq0,1 2  4 5 6 7
1sdbh,1 2   5 6 7
1sf7p,1 2 3 4 5 6 7
1snie,0 1     6  8
1stpo,1 2  4 5 6
1t6tb,0      6  8
1t8wu,2 3  5 6
1ta3y,1 2 3  5 6
1tgnj,1 2  4 5 6
1to59,1    5 6 7
1tp9i,5 6  8
1tpmp,0  2 3  5   8
1tpqe,0 1 2 3 4 5 6
1tq1t,1 2  4 5 6 7
1u679,1 2 3  5 6 7
1u8ar,0   3  5   8
1u8dz,6  8
1uc9e,1 2 3  5 6 7
1ucp9,5 6  8
1ugnb,1 2  4 5 6 7
1uk1n,1 2  4 5 6 7
1um2k,0        8
1uq1s,0  2    6 7 8
1uyqo,0        8
1v5c0,0      6  8
1v6dv,0        8
1v7b5,0      6  8
1va5w,0 1 2 3  5 6
1vi4a,0   3     8
1w2d3,6  8
1w45u,3  5 6
1w7x4,8
1we82,0   3     8
1wevr,1 2 3  5 6 7
1wlmv,0        8
1wmxi,6  8
1wpjf,6  8
1wt2q,1 2   5 6
1wtez,1 2   5 6 7 8
1wtnl,3     8
1wuyt,1 2   5 6  8
1wvv4,0 1 2 3  5 6 7
1xa0x,1 2  4 5 6 7
1xelt,0  2 3  5 6  8
1xgc0,1 2 3 4 5 6 7
1xt3a,5 6  8
1y6kr,2 3   6  8
1yfkb,1 2  4 5 6 7
1yftp,6  8
1yht9,1 2  4 5 6 7
1yirp,1 2   5 6 7
1yppr,1 2 3  5 6 7 8
1z3sk,1 2 3  5 6 7 8
1z9c6,1 2  4 5 6
1za4p,3     8
1zf3m,0        8
1zfvn,5 6  8
1zjuy,1 2 3  5 6
1zngh,0  2 3  5 6  8
1zpzs,8
1zqhe,1 2 3 4 5 6 7
1zuh9,1 2 3  5 6
202i6,6  8
207ue,3  5 6  8
209b2,0  2   5 6  8
20b8p,2 3 4 5 6 7
20frc,6  8
20hsy,1 2  4 5 6 7
20icp,1  3  5 6
20nk1,1 2 3 4 5 6 7 8
20ukp,1 2  4 5 6 7
20uu8,6  8
20xc6,1 2   5 6 7
215s9,0        8
21l58,3  5 6  8
21qgl,0        8
21smj,1 2 3  5 6 7
222in,6  8
222va,0 1 2 3  5 6  8
2275p,1 2 3 4 5 6
22ibt,0   3     8
22oiz,1 2  4 5 6 7
22tj0,2 3  5 6 7 8
22z8w,1 2 3  5 6 7 8
2350j,2 3  5 6  8
2352y,0        8
23dbq,3  5 6  8
23dpa,1 2  4 5 6 7
23ual,1 2   5 6 7
23z2e,0 1 2   5 6  8
242te,1    5   8
249oh,1 2 3 4 5 6 7
24g3m,0  2   5 6 7
24q28,0 1 2 3  5 6  8
24scj,5 6  8
24x3f,1 2  4 5 6 7
253fx,2 3  5 6
258tz,2 3 4 5 6 7
25dvk,1 2   5 6 7
25f99,0        8
25gby,0 1    5   8
25nyb,0 1  3     8
25to6,1 2 3 4 5 6
25uou,6  8
25vxy,1 2 3 4 5 6 7
25yf1,1 2 3  5 6  8
26165,0        8
263ky,1 2 3  5 6 7 8
2653a,0  2 3  5 6
26ren,1 2   5 6
26spn,1 2 3 4 5 6 7
26yii,2 3  5 6  8
26ysm,0   3     8
26zdr,1 2  4 5 6 7
27002,1 2  4 5 6 7 8
271r3,1 2 3 4 5 6 7 8
273hy,2 3  5 6  8
279pd,1       8
27hty,1 2 3 4 5 6 7
27lj4,5   8
27rwo,6  8
27trb,0  2   5 6
27v5m,0      6  8
282os,0   3     8
29bln,0   3     8
29fdd,1 2    6  8
29fu7,6  8
29lbo,1 2 3 4 5 6 7
29lbs,1 2 3 4 5 6 7
29pjd,0
29vk2,1 2 3 4 5 6 7 8
29wh3,1 2 3  5 6 7
2a06s,2 3 4 5 6 7
2a7ng,6  8
2acak,0  2 3  5 6
2acuw,0        8
2aczx,0   3     8
2afxe,1    5 6  8
2axb1,0 1  3 4 5 6
2axyo,3   6  8
2b12o,1 2  4 5 6 7
2b5z7,0  2 3  5 6
2bc5v,1 2   5 6  8
2bib3,1 2  4 5 6 7
2bk9j,2   5 6
2bmxs,0 1       8
2bsuh,3     8
2bu0l,0 1 2  4 5 6 7 8
2bul4,1 2  4 5 6  8
2bxje,0  2 3     8
2c88y,1 2 3 4 5 6 7
2cdtu,1    5 6 7
2cij2,8
2crs5,0 1 2   5 6  8
2ctxo,0 1 2 3  5 6  8
2cu1k,1 2 3  5 6 7 8
2cyqd,1 2  4 5 6 7
2dce8,3  5   8
2ddub,0     5   8
2dh1w,0 1 2 3   6  8
2dpse,1 2 3 4 5 6 7
2dxy7,0   3   6  8
2e0ln,5 6
2e84u,8
2ehyg,2 3  5 6  8
2ezcs,1 2  4 5 6 7
2f2ty,0  2   5 6  8
2f6zq,0     5   8
2fcma,1 2 3 4 5 6
2fkxy,1 2 3  5 6  8
2fmea,1 2   5 6 7
2fqx7,0  2 3 4 5 6 7 8
2frag,0     5 6  8
2ft9g,1 2  4 5 6 7
2fthl,0        8
2g18k,0   3     8
2g2yf,1 2  4 5 6
2g4bm,1 2   5 6
2gcw8,0     5 6  8
2ggft,3  5   8
2glba,1 2  4 5 6  8
2grk0,1 2 3 4 5 6 7
2h44q,8
2h731,5 6  8
2hc70,1 2  4 5 6 7
2hdsd,1 2 3 4 5 6 7
2hk1v,3   6  8
2hq3j,0   3  5
2hth7,0 1 2      8
2hx1g,0   3  5 6
2i2gf,0     5 6
2i3j3,0  2 3  5
2i5yw,1 2 3 4 5 6 7
2idw2,0   3     8
2if6u,1 2  4 5 6  8
2ikxe,0 1 2  4 5 6  8
2in4v,1 2  4 5 6
2iqc4,1 2   5 6  8
2iqnk,0        8
2iqvb,1 2    6  8
2is66,1 2 3  5 6 7
2iwih,0 1       8
2iwjf,3     8
2j4ff,1 2 3 4 5 6
2j5p0,0 1    5 6  8
2j9qa,1 2 3  5 6  8
2jgav,1    5 6
2jk4n,0  2 3   6  8
2jm5n,1 2 3 4 5 6
2jspw,0  2   5 6  8
2juja,1 2 3 4 5 6
2jw3q,1     6  8
2jxew,0 1    5 6  8
2k8rb,1 2   5 6
2km2h,1 2 3  5 6
2kqse,1 2 3   6
2kswt,3     8
2kvvx,1 2 3  5 6 7
2kwq7,0   3     8
2l2fz,1 2 3  5 6  8
2lho0,0     5   8
2llnt,0  2 3  5 6  8
2ltfz,1 2  4 5 6
2lym1,0   3     8
2m196,0        8
2m231,6  8
2mjkr,0        8
2mlt3,6  8
2mm8y,1 2 3  5 6 7
2n4fu,5 6  8
2n9gy,1 2 3  5 6 7
2nrrq,2 3  5 6 7
2nt7j,0 1 2   5 6  8
2oacw,1 2   5 6
2okij,1 2 3 4  6 7
2ox8u,1 2   5 6  8
2ozhc,1 2  4 5 6 7
2p0il,3   6  8
2p4vg,0     5 6  8
2p6vt,8
2p8ss,1 2 3 4 5 6 7
2pb9l,1 2   5 6  8
2pjl8,0  2 3  5 6  8
2pnu5,1    5 6  8
2prpb,1 2 3 4 5 6 7
2pwiz,0        8
2q08n,2 3  5 6
2q2ll,0        8
2q6qi,1 2 3 4 5 6 7
2qa5e,1 2 3 4 5 6 7
2qjmm,0 1 2 3  5 6  8
2r5xw,1 2 3  5 6 7
2r9ir,6  8
2rbmi,3    7 8
2rfh1,0  2   5 6
2rmv6,1 2 3 4 5 6
2rs7b,1 2  4 5 6 7
2ru96,0 1 2 3 4 5 6  8
2rv7z,8
2rwpd,6  8
2s0fu,1 2  4 5 6 7
2s2ha,1 2 3  5 6 7
2s9i5,0   3  5 6  8
2sf9c,6  8
2smnw,1 2  4 5 6
2sp1s,6  8
2sq9e,1 2  4 5 6 7
2sr8w,0   3     8
2srhx,1 2  4 5 6
2t06z,3  5
2t86y,0 1       8
2t9m4,1 2  4 5 6 7
2tse9,1 2 3 4 5 6
2tso7,1 2  4 5 6
2u6qe,0      6  8
2u8ew,1 2  4 5 6 7
2u9ky,2 3 4 5 6 7
2ufja,6  8
2uj1k,0   3     8
2uo1d,3  5 6
2ut5c,1 2 3 4 5 6
2uzp8,2 3 4 5 6
2vtfz,0      6  8
2vxcc,0  2   5 6  8
2w0il,8
2w3s8,0   3     8
2w9fc,0   3     8
2w9im,1 2 3 4 5 6
2wa83,8
2wbil,0 1       8
2wcdy,3     8
2wd4x,2 3  5 6  8
2xcg2,0      6  8
2xddl,2 3  5 6  8
2xl0h,3   6  8
2xu0t,1 2  4 5 6 7
2xw52,0        8
2y2rp,3  5 6 7
2yauf,0  2 3 4 5 6  8
2ybxd,0  2    6  8
2yeud,0   3  5   8
2yfj8,5 6  8
2yjze,0  2   5 6  8
2ykgp,1 2 3  5 6  8
2ymiz,0  2 3   6  8
2ymov,8
2ywgu,0   3  5   8
2yzg4,1 2 3 4 5 6
2zb85,5 6  8
2zhhk,1 2 3 4 5 6  8
2zkot,0 1  3 4 5 6
2zup2,0  2 3 4 5 6 7
2zxk3,8
30a4w,3     8
30cyu,1 2  4 5 6 7
30mrn,1 2 3 4 5 6 7 8
30qm8,1 2  4 5 6 7
30rgq,0   3     8
30sn8,1 2 3 4 5 6 7
312zd,3 4  6  8
31578,0  2 3  5 6
31f52,1 2  4 5 6
31ghu,0     5   8
31gux,1 2 3 4 5 6 7
31ikl,1 2 3 4 5 6 7
31jvz,2 3  5 6  8
31n0s,0 1 2   5 6 7
31qr1,1 2 3  5 6
31xwa,1 2 3 4 5 6
31y16,0        8
321ey,6  8
32m06,0   3  5 6  8
32my8,0        8
32rak,0     5   8
3312z,1 2  4  6 7
33cmf,1 2  4 5 6 7
33f85,2  4 5 6 7
33p3w,1 2 3  5 6  8
33pkk,1 2   5 6  8
344q5,1       8
346um,1 2 3  5 6  8
34d5s,3  5 6  8
34hdl,3     8
34i42,1 2 3 4 5 6 7
34kyx,1       8
34utl,0 1  3  5  7 8
34vp7,0   3     8
34w54,0   3     8
350m1,0 1 2 3     8
352iu,1 2 3 4 5 6  8
357kz,0   3  5   8
3580p,
35dol,1 2 3 4 5 6 7
361ze,1 2   5 6
36btp,0   3     8
36gec,1 2  4 5 6 7
36rec,0        8
36uyl,8
370k3,0        8
374nr,0   3     8
376an,0 1 2    6  8
37b21,0     5   8
37biw,0   3  5 6  8
37if9,1 2 3  5 6 7
37k5h,1 2  4 5 6 7
380gw,1 2 3  5 6
383jc,3     8
3867q,0 1     6  8
388lp,1 2   5 6
389dd,3     8
38b73,0 1  3     8
38ije,1 2  4 5 6 7
38jfw,0 1       8
38lwf,1 2  4 5 6 7
394o5,1    5 6
39aji,3     8
39da0,0     5   8
39e4c,1 2 3 4 5 6
39gcr,6  8
39hup,1 2 3 4 5 6 7
39ie0,1  3   6  8
39sxz,1 2 3  5 6  8
3a4wc,1 2  4 5 6 7
3abm9,0  2   5 6  8
3acri,1 2 3 4 5 6 7
3aebl,0        8
3amll,2   5 6
3aonv,2 3  5 6 7
3aq9z,1 2   5 6 7 8
3az75,0 1       8
3b0bd,5 6  8
3b38w,1 2  4 5 6 7
3c1yc,6  8
3c9si,1 2 3 4 5 6 7
3clst,1 2 3 4 5 6 7
3cpeo,0        8
3d1cw,0
3d4ec,1 2  4 5 6 7
3d4yz,3     8
3d5es,1 2  4  6 7
3da1b,1 2 3 4 5 6 7
3dgri,0 1 2   5 6  8
3dng5,0 1       8
3dnyh,1 2  4 5 6 7
3dtq0,1 2   5 6  8
3e3ov,0        8
3e7aa,1 2  4 5 6 7
3eb5l,0   3     8
3ekst,0   3     8
3eoj5,1 2  4 5 6 7
3exi9,2   5 6 7 8
3exv5,1  3  5 6  8
3ey33,1 2  4 5 6
3f459,1 2 3 4 5 6 7
3f89e,1 2   5 6
3fkav,0   3     8
3fr95,0   3     8
3fswv,1 2  4 5 6 7
3g3lt,1 2 3 4 5 6 7
3g63s,0 1 2   5 6  8
3gatb,0        8
3gc11,0   3
3ggkj,1  3   6  8
3gjcv,1 2 3  5 6 7
3gke3,0   3  5   8
3h1mv,0     5   8
3h8zc,1 2  4 5 6 7
3hcbc,1 2  4 5 6 7
3hi0o,0        8
3hr0u,1 2  4 5 6
3hss1,1    5 6  8
3hx0z,0  2    6  8
3i0lb,1 2 3 4 5 6
3i26e,1 2   5 6  8
3i2or,6  8
3i7w0,1 2 3 4 5 6 7
3iajk,1 2 3 4 5 6  8
3iiuk,3  5 6
3imha,1 2  4 5 6 7 8
3ipkg,6  8
3iqxk,6  8
3irvx,1 2 3 4 5 6 7
3ivad,1 2 3   6 7
3iy7g,1 2 3 4 5 6  8
3iymv,0   3     8
3j75n,1 2  4 5 6 7
3j8ta,5 6  8
3jcil,1    5 6
3jd77,2   5 6
3jdn8,1 2 3  5 6 7
3jfq7,1 2  4 5 6  8
3jhog,1 2 3 4 5 6
3jhq1,0 1 2   5 6  8
3jj09,0        8
3jmrd,0 1 2   5 6  8
3k44j,0        8
3k73e,3  5 6
3k8b1,1 2 3 4 5 6 7 8
3kklx,0 1 2   5 6 7 8
3knwe,1       8
3kr31,1 2    6
3kvyt,6  8
3kw0t,1 2   5 6  8
3kwl4,6  8
3l16a,1 2   5 6 7 8
3lbq5,0 1  3  5 6  8
3lbrj,0 1 2 3  5 6 7 8
3lc50,0        8
3lfzc,8
3lnc9,1 2 3  5 6 7
3lq1n,0  2 3 4 5 6 7 8
3lskm,1 2  4 5 6
3m2tp,6  8
3mbpn,1 2 3  5 6 7 8
3mc0u,0        8
3mgm3,8
3mh6y,0 1       8
3mhez,8
3mi5u,1 2 3 4 5 6 7
3mlkv,8
3n1bz,0  2   5 6  8
3n1vw,3     8
3n3ay,1  3  5 6
3n3w3,1 2  4 5 6 7
3nkeq,5 6
3nogw,2 3  5 6 7 8
